,Patch Name,Inferred from projects,occurrence
73,VariableDeclarationStatement#8#33,wildfly,1
74,VariableDeclarationStatement#8#33,spring-security-oauth,1
75,VariableDeclarationStatement#8#34,spring-roo,2
76,VariableDeclarationStatement#8#35,camel,3
77,VariableDeclarationStatement#8#36,fuse,2
78,VariableDeclarationStatement#8#37,wildfly,2
79,VariableDeclarationStatement#8#38,spring-batch,2
80,VariableDeclarationStatement#8#39,wildfly-core,2
81,VariableDeclarationStatement#8#40,spring-batch,2
82,VariableDeclarationStatement#8#41,camel,2
83,VariableDeclarationStatement#8#42,camel,2
84,VariableDeclarationStatement#8#43,commons-crypto,2
85,VariableDeclarationStatement#8#44,wildfly,1
86,VariableDeclarationStatement#8#44,wildfly-core,1
87,VariableDeclarationStatement#8#45,spring-security,2
88,VariableDeclarationStatement#8#46,spring-hadoop,1
89,VariableDeclarationStatement#8#46,spring-security-oauth,1
90,VariableDeclarationStatement#8#47,camel,1
91,VariableDeclarationStatement#8#47,wildfly-core,1
92,VariableDeclarationStatement#8#48,wildfly,1
93,VariableDeclarationStatement#8#48,spring-roo,1
94,VariableDeclarationStatement#4#0,wildfly-core,12
95,VariableDeclarationStatement#4#0,wildfly,27
96,VariableDeclarationStatement#4#0,camel,71
97,VariableDeclarationStatement#4#0,spring-data-mongodb,14
98,VariableDeclarationStatement#4#0,fuse,15
99,VariableDeclarationStatement#4#0,commons-configuration,1
100,VariableDeclarationStatement#4#0,spring-batch,1
101,VariableDeclarationStatement#4#0,spring-data-rest,12
102,VariableDeclarationStatement#4#0,spring-data-neo4j,3
103,VariableDeclarationStatement#4#0,spring-ldap,2
104,VariableDeclarationStatement#4#0,spring-amqp,1
105,VariableDeclarationStatement#4#0,spring-security,3
106,VariableDeclarationStatement#4#0,spring-security-oauth,7
107,VariableDeclarationStatement#4#0,wildfly-arquillian,2
108,VariableDeclarationStatement#4#0,spring-roo,3
109,VariableDeclarationStatement#4#0,commons-codec,1
110,VariableDeclarationStatement#4#0,hive,3
111,VariableDeclarationStatement#4#0,spring-ws,3
112,VariableDeclarationStatement#4#0,wildfly-swarm,2
113,VariableDeclarationStatement#4#0,spring-webflow,1
114,VariableDeclarationStatement#4#0,spring-data-commons,2
115,VariableDeclarationStatement#4#0,spring-data-jpa,1
116,VariableDeclarationStatement#4#0,spring-social,1
117,VariableDeclarationStatement#4#0,wildfly-elytron,1
118,VariableDeclarationStatement#4#0,commons-compress,1
119,VariableDeclarationStatement#4#1,spring-batch,1
120,VariableDeclarationStatement#4#1,camel,19
121,VariableDeclarationStatement#4#1,spring-security,2
122,VariableDeclarationStatement#4#1,wildfly,2
123,VariableDeclarationStatement#4#1,spring-shell,1
124,VariableDeclarationStatement#4#1,commons-configuration,1
125,VariableDeclarationStatement#4#1,spring-data-redis,2
126,VariableDeclarationStatement#4#2,spring-security,8
127,VariableDeclarationStatement#4#2,camel,5
128,VariableDeclarationStatement#4#2,wildfly-swarm,2
129,VariableDeclarationStatement#4#3,wildfly,3
130,VariableDeclarationStatement#4#3,metadata,1
131,VariableDeclarationStatement#4#3,camel,2
132,VariableDeclarationStatement#4#3,spring-security-oauth,2
133,VariableDeclarationStatement#4#3,fuse,1
134,VariableDeclarationStatement#4#3,spring-webflow,5
135,VariableDeclarationStatement#4#4,spring-amqp,2
136,VariableDeclarationStatement#4#4,camel,1
137,VariableDeclarationStatement#4#4,wildfly,2
138,VariableDeclarationStatement#4#5,hive,8
139,VariableDeclarationStatement#4#5,spring-data-jpa,1
140,VariableDeclarationStatement#4#5,camel,2
141,VariableDeclarationStatement#4#5,spring-security,1
142,VariableDeclarationStatement#4#6,spring-batch,1
143,VariableDeclarationStatement#4#6,spring-data-redis,1
144,VariableDeclarationStatement#4#6,wildfly,2
145,VariableDeclarationStatement#4#6,camel,1
146,VariableDeclarationStatement#4#6,wildfly-core,1
147,VariableDeclarationStatement#4#7,wildfly,4
148,VariableDeclarationStatement#4#7,hive,2
149,VariableDeclarationStatement#4#7,spring-security,1
150,VariableDeclarationStatement#4#7,wildfly-core,1
151,VariableDeclarationStatement#4#7,camel,1
152,VariableDeclarationStatement#4#8,camel,5
153,VariableDeclarationStatement#4#8,spring-security,2
154,VariableDeclarationStatement#4#8,wildfly,4
155,VariableDeclarationStatement#4#8,hive,2
156,VariableDeclarationStatement#4#8,wildfly-core,2
157,VariableDeclarationStatement#4#8,spring-data-redis,1
158,VariableDeclarationStatement#4#8,wildfly-elytron,1
159,VariableDeclarationStatement#4#9,wildfly,1
160,VariableDeclarationStatement#4#9,wildfly-core,1
161,VariableDeclarationStatement#4#10,camel,3
162,VariableDeclarationStatement#4#11,spring-data-mongodb,2
163,VariableDeclarationStatement#4#11,fuse,1
164,VariableDeclarationStatement#4#11,camel,3
165,VariableDeclarationStatement#4#11,spring-security-oauth,1
166,VariableDeclarationStatement#4#11,wildfly,1
167,VariableDeclarationStatement#4#12,camel,2
168,VariableDeclarationStatement#4#12,wildfly-core,3
169,VariableDeclarationStatement#4#13,wildfly-core,1
170,VariableDeclarationStatement#4#13,hive,1
171,VariableDeclarationStatement#4#13,commons-io,1
172,VariableDeclarationStatement#4#13,wildfly,1
173,VariableDeclarationStatement#4#14,camel,8
174,VariableDeclarationStatement#4#14,wildfly,1
175,VariableDeclarationStatement#4#14,spring-ws,2
176,VariableDeclarationStatement#4#14,hive,3
177,VariableDeclarationStatement#4#15,camel,1
178,VariableDeclarationStatement#4#15,wildfly,2
179,VariableDeclarationStatement#4#15,spring-data-rest,2
180,VariableDeclarationStatement#4#15,hive,2
181,VariableDeclarationStatement#4#16,wildfly-core,3
182,VariableDeclarationStatement#4#16,hive,2
183,VariableDeclarationStatement#4#16,spring-data-mongodb,1
184,VariableDeclarationStatement#4#16,spring-hadoop,2
185,VariableDeclarationStatement#4#16,camel,1
186,VariableDeclarationStatement#4#17,hive,1
187,VariableDeclarationStatement#4#17,wildfly,1
188,VariableDeclarationStatement#4#17,wildfly-core,1
189,VariableDeclarationStatement#4#17,spring-data-mongodb,1
190,VariableDeclarationStatement#4#18,camel,2
191,VariableDeclarationStatement#4#18,wildfly,1
192,VariableDeclarationStatement#4#19,camel,4
193,VariableDeclarationStatement#4#20,camel,1
194,VariableDeclarationStatement#4#20,fuse,2
195,VariableDeclarationStatement#4#20,commons-collections,2
196,VariableDeclarationStatement#4#20,wildfly-core,1
197,VariableDeclarationStatement#4#21,wildfly,2
198,VariableDeclarationStatement#4#21,camel,1
199,VariableDeclarationStatement#4#22,spring-webflow,1
200,VariableDeclarationStatement#4#22,camel,1
201,VariableDeclarationStatement#4#23,spring-amqp,2
202,VariableDeclarationStatement#4#23,hive,1
203,VariableDeclarationStatement#4#24,wildfly,1
204,VariableDeclarationStatement#4#24,wildfly-core,1
205,VariableDeclarationStatement#4#24,spring-data-redis,1
206,VariableDeclarationStatement#4#25,spring-security,1
207,VariableDeclarationStatement#4#25,wildfly,1
208,VariableDeclarationStatement#4#25,wildfly-core,1
209,VariableDeclarationStatement#4#26,camel,2
210,VariableDeclarationStatement#4#27,spring-security,2
211,VariableDeclarationStatement#4#28,hive,2
212,VariableDeclarationStatement#4#29,camel,2
213,VariableDeclarationStatement#4#29,spring-batch,1
214,VariableDeclarationStatement#4#30,spring-batch,1
215,VariableDeclarationStatement#4#30,hive,1
216,VariableDeclarationStatement#2#0,wildfly-core,7
217,VariableDeclarationStatement#2#0,fuse,9
218,VariableDeclarationStatement#2#0,camel,8
219,VariableDeclarationStatement#2#0,wildfly,7
220,VariableDeclarationStatement#2#0,spring-security-oauth,1
221,VariableDeclarationStatement#2#0,spring-ldap,2
222,VariableDeclarationStatement#2#0,spring-security,3
223,VariableDeclarationStatement#2#0,spring-data-neo4j,1
224,VariableDeclarationStatement#2#0,spring-data-jpa,1
225,VariableDeclarationStatement#2#0,spring-data-mongodb,2
226,VariableDeclarationStatement#2#0,commons-configuration,1
227,VariableDeclarationStatement#2#1,wildfly,3
228,VariableDeclarationStatement#2#1,camel,4
229,VariableDeclarationStatement#2#1,spring-security,3
230,VariableDeclarationStatement#2#1,spring-security-oauth,3
231,VariableDeclarationStatement#2#1,wildfly-core,1
232,VariableDeclarationStatement#2#1,spring-data-neo4j,1
233,VariableDeclarationStatement#2#2,wildfly,6
234,VariableDeclarationStatement#2#2,spring-roo,3
235,VariableDeclarationStatement#2#2,commons-codec,2
236,VariableDeclarationStatement#2#2,wildfly-core,1
237,VariableDeclarationStatement#2#3,spring-security,5
238,VariableDeclarationStatement#2#3,wildfly,1
239,VariableDeclarationStatement#2#3,fuse,1
240,VariableDeclarationStatement#2#4,wildfly-elytron,1
241,VariableDeclarationStatement#2#4,wildfly-core,2
242,VariableDeclarationStatement#2#4,commons-io,1
243,VariableDeclarationStatement#2#4,camel,1
244,VariableDeclarationStatement#2#4,commons-csv,1
245,VariableDeclarationStatement#2#5,hive,4
246,VariableDeclarationStatement#2#5,commons-configuration,1
247,VariableDeclarationStatement#2#6,commons-compress,2
248,VariableDeclarationStatement#2#6,spring-data-mongodb,1
249,VariableDeclarationStatement#7#0,spring-security,2
250,VariableDeclarationStatement#7#0,spring-amqp,2
251,VariableDeclarationStatement#7#0,camel,7
252,VariableDeclarationStatement#7#0,commons-configuration,1
253,VariableDeclarationStatement#7#0,wildfly-core,2
254,VariableDeclarationStatement#7#0,spring-webflow,1
255,VariableDeclarationStatement#7#0,spring-data-redis,1
256,VariableDeclarationStatement#7#0,spring-hadoop,1
257,VariableDeclarationStatement#7#0,wildfly,1
258,VariableDeclarationStatement#7#0,spring-batch-admin,1
259,VariableDeclarationStatement#7#0,spring-android,1
260,VariableDeclarationStatement#7#1,camel,7
261,VariableDeclarationStatement#7#1,spring-data-commons,1
262,VariableDeclarationStatement#7#1,spring-data-redis,2
263,VariableDeclarationStatement#7#2,wildfly,9
264,VariableDeclarationStatement#7#2,wildfly-core,6
265,VariableDeclarationStatement#7#3,wildfly,10
266,VariableDeclarationStatement#7#4,camel,5
267,VariableDeclarationStatement#7#4,spring-security,1
268,VariableDeclarationStatement#7#4,wildfly,1
269,VariableDeclarationStatement#7#4,commons-configuration,1
270,VariableDeclarationStatement#7#4,spring-social,1
271,VariableDeclarationStatement#7#4,spring-social-twitter,1
272,VariableDeclarationStatement#7#5,camel,6
273,VariableDeclarationStatement#7#5,wildfly,1
274,VariableDeclarationStatement#7#5,spring-security,1
275,VariableDeclarationStatement#7#5,wildfly-swarm,1
276,VariableDeclarationStatement#7#5,spring-hadoop,1
277,VariableDeclarationStatement#7#5,wildfly-core,1
278,VariableDeclarationStatement#7#6,camel,5
279,VariableDeclarationStatement#7#7,wildfly-core,2
280,VariableDeclarationStatement#7#7,camel,5
281,VariableDeclarationStatement#7#7,spring-security,1
282,VariableDeclarationStatement#7#7,hive,1
283,VariableDeclarationStatement#7#7,wildfly,1
284,VariableDeclarationStatement#7#8,wildfly,8
285,VariableDeclarationStatement#7#9,spring-security,5
286,VariableDeclarationStatement#7#10,wildfly,8
287,VariableDeclarationStatement#7#11,fuse,7
288,VariableDeclarationStatement#7#12,camel,2
289,VariableDeclarationStatement#7#13,spring-security,3
290,VariableDeclarationStatement#7#14,wildfly,2
291,VariableDeclarationStatement#7#14,commons-collections,1
292,VariableDeclarationStatement#7#14,wildfly-core,3
293,VariableDeclarationStatement#7#15,spring-ldap,1
294,VariableDeclarationStatement#7#15,camel,1
295,VariableDeclarationStatement#7#15,spring-security-oauth,2
296,VariableDeclarationStatement#7#16,spring-data-mongodb,2
297,VariableDeclarationStatement#7#16,wildfly-core,1
298,VariableDeclarationStatement#7#16,spring-security,1
299,VariableDeclarationStatement#7#16,wildfly,1
300,VariableDeclarationStatement#7#17,spring-batch,1
301,VariableDeclarationStatement#7#17,spring-security,1
302,VariableDeclarationStatement#7#17,wildfly,1
303,VariableDeclarationStatement#7#17,camel,1
304,VariableDeclarationStatement#7#18,camel,1
305,VariableDeclarationStatement#7#18,fuse,1
306,VariableDeclarationStatement#7#18,spring-data-neo4j,2
307,VariableDeclarationStatement#7#18,spring-amqp,1
308,VariableDeclarationStatement#7#19,wildfly-elytron,1
309,VariableDeclarationStatement#7#19,wildfly,1
310,VariableDeclarationStatement#7#20,spring-data-mongodb,1
311,VariableDeclarationStatement#7#20,fuse,1
312,VariableDeclarationStatement#7#20,commons-crypto,1
313,VariableDeclarationStatement#7#21,spring-batch,2
314,VariableDeclarationStatement#7#22,wildfly,1
315,VariableDeclarationStatement#7#22,wildfly-core,1
316,VariableDeclarationStatement#7#23,wildfly,2
317,VariableDeclarationStatement#7#24,spring-data-mongodb,1
318,VariableDeclarationStatement#7#24,camel,3
319,VariableDeclarationStatement#7#24,wildfly-swarm,1
320,VariableDeclarationStatement#7#24,wildfly,1
321,VariableDeclarationStatement#7#25,hive,1
322,VariableDeclarationStatement#7#25,camel,1
323,VariableDeclarationStatement#7#26,wildfly-core,1
324,VariableDeclarationStatement#7#26,wildfly,1
325,VariableDeclarationStatement#7#27,wildfly,3
326,VariableDeclarationStatement#7#28,camel,1
327,VariableDeclarationStatement#7#28,spring-data-mongodb,1
328,VariableDeclarationStatement#7#29,wildfly-core,1
329,VariableDeclarationStatement#7#29,wildfly,2
330,VariableDeclarationStatement#7#30,camel,2
331,VariableDeclarationStatement#7#31,wildfly,2
332,VariableDeclarationStatement#7#32,fuse,1
333,VariableDeclarationStatement#7#32,camel,1
334,VariableDeclarationStatement#7#32,spring-batch,1
335,VariableDeclarationStatement#7#33,spring-amqp,2
336,VariableDeclarationStatement#7#34,camel,2
337,VariableDeclarationStatement#7#35,spring-data-mongodb,2
338,VariableDeclarationStatement#7#36,wildfly,2
339,VariableDeclarationStatement#7#37,wildfly,3
340,VariableDeclarationStatement#7#38,spring-ldap,2
341,VariableDeclarationStatement#7#39,spring-security,2
342,VariableDeclarationStatement#7#40,spring-data-neo4j,2
343,VariableDeclarationStatement#7#41,spring-security,2
344,VariableDeclarationStatement#7#42,wildfly,1
345,VariableDeclarationStatement#7#42,camel,1
346,VariableDeclarationStatement#7#42,spring-security,1
347,VariableDeclarationStatement#7#43,camel,2
348,VariableDeclarationStatement#7#44,hive,2
349,VariableDeclarationStatement#7#45,spring-data-mongodb,1
350,VariableDeclarationStatement#7#45,wildfly,1
351,VariableDeclarationStatement#7#46,wildfly,2
352,VariableDeclarationStatement#7#47,spring-data-mongodb,2
353,VariableDeclarationStatement#7#48,spring-data-rest,1
354,VariableDeclarationStatement#7#48,camel,1
355,VariableDeclarationStatement#7#49,camel,2
356,VariableDeclarationStatement#7#50,camel,2
357,VariableDeclarationStatement#7#51,wildfly,2
358,VariableDeclarationStatement#5#0,spring-security-oauth,3
359,VariableDeclarationStatement#5#0,camel,34
360,VariableDeclarationStatement#5#0,spring-data-jpa,1
361,VariableDeclarationStatement#5#0,spring-amqp,1
362,VariableDeclarationStatement#5#0,wildfly-swarm,5
363,VariableDeclarationStatement#5#0,spring-roo,1
364,VariableDeclarationStatement#5#0,wildfly,11
365,VariableDeclarationStatement#5#0,spring-data-rest,2
366,VariableDeclarationStatement#5#0,spring-data-commons,2
367,VariableDeclarationStatement#5#0,spring-android,1
368,VariableDeclarationStatement#5#0,wildfly-core,1
369,VariableDeclarationStatement#5#0,commons-codec,1
370,VariableDeclarationStatement#5#0,spring-data-gemfire,1
371,VariableDeclarationStatement#5#1,spring-security-oauth,5
372,VariableDeclarationStatement#5#1,spring-webflow,1
373,VariableDeclarationStatement#5#1,camel,9
374,VariableDeclarationStatement#5#1,wildfly-core,1
375,VariableDeclarationStatement#5#2,wildfly,2
376,VariableDeclarationStatement#5#2,spring-data-jpa,3
377,VariableDeclarationStatement#5#2,wildfly-core,5
378,VariableDeclarationStatement#5#2,spring-security,13
379,VariableDeclarationStatement#5#2,spring-batch,3
380,VariableDeclarationStatement#5#2,commons-configuration,1
381,VariableDeclarationStatement#5#2,camel,6
382,VariableDeclarationStatement#5#2,spring-data-mongodb,1
383,VariableDeclarationStatement#5#3,wildfly-core,4
384,VariableDeclarationStatement#5#3,camel,2
385,VariableDeclarationStatement#5#3,hive,1
386,VariableDeclarationStatement#5#3,wildfly,7
387,VariableDeclarationStatement#5#3,spring-data-mongodb,1
388,VariableDeclarationStatement#5#4,camel,8
389,VariableDeclarationStatement#5#4,commons-io,1
390,VariableDeclarationStatement#5#4,wildfly,11
391,VariableDeclarationStatement#5#4,spring-ws,1
392,VariableDeclarationStatement#5#5,hive,11
393,VariableDeclarationStatement#5#6,camel,7
394,VariableDeclarationStatement#5#6,spring-roo,2
395,VariableDeclarationStatement#5#6,spring-security,4
396,VariableDeclarationStatement#5#6,spring-security-oauth,3
397,VariableDeclarationStatement#5#6,wildfly,2
398,VariableDeclarationStatement#5#6,wildfly-core,1
399,VariableDeclarationStatement#5#7,wildfly,1
400,VariableDeclarationStatement#5#7,camel,5
401,VariableDeclarationStatement#5#7,wildfly-elytron,1
402,VariableDeclarationStatement#5#7,spring-hadoop,1
403,VariableDeclarationStatement#5#8,spring-roo,1
404,VariableDeclarationStatement#5#8,spring-data-redis,2
405,VariableDeclarationStatement#5#8,wildfly-core,2
406,VariableDeclarationStatement#5#8,hive,1
407,VariableDeclarationStatement#5#8,camel,3
408,VariableDeclarationStatement#5#9,wildfly,2
409,VariableDeclarationStatement#5#9,spring-shell,1
410,VariableDeclarationStatement#5#9,camel,7
411,VariableDeclarationStatement#5#9,spring-batch,1
412,VariableDeclarationStatement#5#9,hive,1
413,VariableDeclarationStatement#5#9,spring-security,2
414,VariableDeclarationStatement#5#9,fuse,1
415,VariableDeclarationStatement#5#10,spring-shell,2
416,VariableDeclarationStatement#5#11,wildfly-core,6
417,VariableDeclarationStatement#5#11,camel,2
418,VariableDeclarationStatement#5#11,spring-security,1
419,VariableDeclarationStatement#5#12,camel,6
420,VariableDeclarationStatement#5#12,wildfly,1
421,VariableDeclarationStatement#5#13,fuse,1
422,VariableDeclarationStatement#5#13,wildfly-core,2
423,VariableDeclarationStatement#5#13,wildfly,1
424,VariableDeclarationStatement#5#14,hive,7
425,VariableDeclarationStatement#5#14,camel,1
426,VariableDeclarationStatement#5#15,spring-data-redis,1
427,VariableDeclarationStatement#5#15,commons-configuration,1
428,VariableDeclarationStatement#5#16,camel,3
429,VariableDeclarationStatement#5#17,camel,2
430,VariableDeclarationStatement#5#17,wildfly,2
431,VariableDeclarationStatement#5#17,wildfly-core,2
432,VariableDeclarationStatement#5#18,wildfly-swarm,3
433,VariableDeclarationStatement#5#19,camel,10
434,VariableDeclarationStatement#5#19,wildfly,1
435,VariableDeclarationStatement#5#19,wildfly-core,1
436,VariableDeclarationStatement#5#20,camel,12
437,VariableDeclarationStatement#5#21,camel,1
438,VariableDeclarationStatement#5#21,spring-batch,1
439,VariableDeclarationStatement#5#21,spring-security,4
440,VariableDeclarationStatement#5#21,spring-security-oauth,1
441,VariableDeclarationStatement#5#21,spring-social-twitter,1
442,VariableDeclarationStatement#5#21,commons-io,1
443,VariableDeclarationStatement#5#22,wildfly,2
444,VariableDeclarationStatement#5#22,spring-hadoop,1
445,VariableDeclarationStatement#5#22,wildfly-core,1
446,VariableDeclarationStatement#5#22,camel,1
447,VariableDeclarationStatement#5#23,camel,3
448,VariableDeclarationStatement#5#23,spring-data-neo4j,2
449,VariableDeclarationStatement#5#23,commons-collections,3
450,VariableDeclarationStatement#5#23,wildfly,1
451,VariableDeclarationStatement#5#24,wildfly-core,3
452,VariableDeclarationStatement#5#24,camel,1
453,VariableDeclarationStatement#5#24,commons-configuration,1
454,VariableDeclarationStatement#5#24,wildfly-elytron,1
455,VariableDeclarationStatement#5#24,hive,1
456,VariableDeclarationStatement#5#24,spring-ldap,1
457,VariableDeclarationStatement#5#24,wildfly,2
458,VariableDeclarationStatement#5#24,spring-roo,1
459,VariableDeclarationStatement#5#25,spring-security,1
460,VariableDeclarationStatement#5#25,wildfly,2
461,VariableDeclarationStatement#5#25,spring-amqp,1
462,VariableDeclarationStatement#5#25,wildfly-core,3
463,VariableDeclarationStatement#5#25,camel,5
464,VariableDeclarationStatement#5#26,wildfly,1
465,VariableDeclarationStatement#5#26,spring-data-rest,1
466,VariableDeclarationStatement#5#26,fuse,1
467,VariableDeclarationStatement#5#26,spring-amqp,1
468,VariableDeclarationStatement#5#27,wildfly,3
469,VariableDeclarationStatement#5#27,camel,2
470,VariableDeclarationStatement#5#27,spring-data-gemfire,1
471,VariableDeclarationStatement#5#27,wildfly-core,1
472,VariableDeclarationStatement#5#28,wildfly,4
473,VariableDeclarationStatement#5#28,camel,1
474,VariableDeclarationStatement#5#28,fuse,1
475,VariableDeclarationStatement#5#28,spring-data-mongodb,2
476,VariableDeclarationStatement#5#28,spring-batch,1
477,VariableDeclarationStatement#5#28,commons-configuration,2
478,VariableDeclarationStatement#5#29,camel,4
479,VariableDeclarationStatement#5#29,spring-data-neo4j,2
480,VariableDeclarationStatement#5#30,camel,3
481,VariableDeclarationStatement#5#30,wildfly,2
482,VariableDeclarationStatement#5#30,wildfly-core,2
483,VariableDeclarationStatement#5#31,spring-security,1
484,VariableDeclarationStatement#5#31,camel,1
485,VariableDeclarationStatement#5#32,camel,1
486,VariableDeclarationStatement#5#32,spring-batch,1
487,VariableDeclarationStatement#5#32,wildfly-swarm,1
488,VariableDeclarationStatement#5#32,spring-amqp,1
489,VariableDeclarationStatement#5#33,wildfly-core,1
490,VariableDeclarationStatement#5#33,spring-data-commons,1
491,VariableDeclarationStatement#5#33,spring-security-oauth,1
492,VariableDeclarationStatement#5#33,wildfly,2
493,VariableDeclarationStatement#5#34,spring-batch,1
494,VariableDeclarationStatement#5#34,camel,2
495,VariableDeclarationStatement#5#34,wildfly,1
496,VariableDeclarationStatement#5#35,camel,1
497,VariableDeclarationStatement#5#35,wildfly-core,2
498,VariableDeclarationStatement#5#35,wildfly,2
499,VariableDeclarationStatement#5#36,camel,4
500,VariableDeclarationStatement#5#36,spring-security-oauth,2
501,VariableDeclarationStatement#5#36,hive,2
502,VariableDeclarationStatement#5#36,wildfly,1
503,VariableDeclarationStatement#5#37,camel,1
504,VariableDeclarationStatement#5#37,wildfly,1
505,VariableDeclarationStatement#5#38,camel,2
506,VariableDeclarationStatement#5#39,camel,8
507,VariableDeclarationStatement#5#39,spring-security-oauth,1
508,VariableDeclarationStatement#5#40,spring-security,5
509,VariableDeclarationStatement#5#41,camel,2
510,VariableDeclarationStatement#5#41,wildfly,3
511,VariableDeclarationStatement#5#41,commons-io,1
512,VariableDeclarationStatement#5#41,spring-data-neo4j,1
513,VariableDeclarationStatement#5#42,wildfly,2
514,VariableDeclarationStatement#5#42,camel,4
515,VariableDeclarationStatement#5#43,wildfly-elytron,1
516,VariableDeclarationStatement#5#43,camel,1
517,VariableDeclarationStatement#5#43,wildfly-swarm,1
518,VariableDeclarationStatement#5#44,hive,1
519,VariableDeclarationStatement#5#44,wildfly,3
520,VariableDeclarationStatement#5#44,camel,1
521,VariableDeclarationStatement#5#44,wildfly-core,1
522,VariableDeclarationStatement#5#45,camel,4
523,VariableDeclarationStatement#5#46,camel,4
524,VariableDeclarationStatement#5#47,wildfly-core,1
525,VariableDeclarationStatement#5#47,wildfly,1
526,VariableDeclarationStatement#5#48,wildfly,2
527,VariableDeclarationStatement#5#48,spring-social-twitter,1
528,VariableDeclarationStatement#5#49,wildfly-swarm,3
529,VariableDeclarationStatement#5#50,wildfly,1
530,VariableDeclarationStatement#5#50,wildfly-core,1
531,VariableDeclarationStatement#5#51,spring-data-mongodb,1
532,VariableDeclarationStatement#5#51,wildfly-core,2
533,VariableDeclarationStatement#5#51,spring-data-jpa,2
534,VariableDeclarationStatement#5#51,spring-data-rest,1
535,VariableDeclarationStatement#5#51,spring-batch,1
536,VariableDeclarationStatement#5#52,spring-webflow,2
537,VariableDeclarationStatement#5#53,camel,2
538,VariableDeclarationStatement#5#53,spring-amqp,1
539,VariableDeclarationStatement#5#53,spring-data-commons,1
540,VariableDeclarationStatement#5#53,spring-data-jpa,1
541,VariableDeclarationStatement#5#54,spring-security,1
